[22/07 13:40:54] [info] TheHumax | quest TheHumax/nether_portal | pushing quest nether_portal = 69e77d69-9032-473c-8687-ca121d04ae2c
[22/07 13:40:54] [info] TheHumax | quest TheHumax/nether_portal | started quest : cause GUI
[22/07 13:40:54] [info] TheHumax | quest TheHumax/nether_portal/main | started branch
[22/07 13:43:44] [info] TheHumax | quest TheHumax/nether_portal | paused quest
[22/07 13:43:44] [info] TheHumax | quest TheHumax/nether_portal | pushing quest nether_portal = 69e77d69-9032-473c-8687-ca121d04ae2c
[22/07 13:43:44] [info] TheHumax | quest TheHumax/nether_portal | fetched quest
[22/07 13:43:44] [info] TheHumax | quest TheHumax/nether_portal | resumed quest
[22/07 13:44:19] [info] TheHumax | quest TheHumax/nether_portal | paused quest
[22/07 13:44:19] [info] TheHumax | quest TheHumax/nether_portal | pushing quest nether_portal = 69e77d69-9032-473c-8687-ca121d04ae2c
[22/07 13:44:19] [info] TheHumax | quest TheHumax/nether_portal | fetched quest
[22/07 13:44:19] [info] TheHumax | quest TheHumax/nether_portal | resumed quest
[22/07 13:44:25] [info] TheHumax | quest TheHumax/nether_portal | stopped quest : cause COMMAND
